"","ID","Alter","Geschlecht","Bildung","Bildung_sonstig","BZG","Beschaeftigungsart","Arbeitszeitmodell","Gehalt_n","Position_im_Unternehmen","Remotarbeit","ZE01","ZE04","Time_sum_m","IS_mean","IS_K_mean","IS_E_mean","CPE_mean","CPE_C_mean","CPE_I_mean","CPE_M_mean","CPE_E_mean","PS_mean","OC_A_mean","QQ_Anand_mean","QQ_Eigene_mean","QQ_Gesamt_mean","SL_mean"
"62",62,27,2,4,NA,8.75,2,24,2,1,3,1,1,9.2,3.125,2.5,3.75,2.875,2,3,4.5,2,4.85714285714286,1.4,4.28571428571429,4.33333333333333,4.30769230769231,4.14285714285714
"63",63,28,1,6,NA,5.58333333333333,2,40,4,2,2,1,1,12.7333333333333,3.75,3.75,3.75,5.375,5.5,5.25,5,5.75,6,4,2,1.66666666666667,1.84615384615385,5.42857142857143
"64",64,54,2,5,NA,37.25,2,20,2,1,3,1,1,10.7166666666667,6.125,6,6.25,3.1875,3,5,2,2.75,4.28571428571429,1.2,4,3.83333333333333,3.92307692307692,2.42857142857143
"65",65,27,2,6,NA,3.25,1,18,1,1,2,1,1,9.73333333333333,2,2.5,1.5,5.625,4.75,5.25,6.5,6,6.71428571428571,4.2,1.28571428571429,1.66666666666667,1.46153846153846,5.71428571428571
"66",66,23,1,4,NA,0.583333333333333,1,5,1,1,1,1,1,7.68333333333333,2.625,2.25,3,4.6875,4.75,3.75,4,6.25,5.85714285714286,2.4,2.57142857142857,2,2.30769230769231,5.28571428571429
"67",67,24,2,4,NA,2.08333333333333,1,19,2,1,3,1,1,9.23333333333333,2.25,3,1.5,6.1875,6.75,6,5.75,6.25,5.42857142857143,4.2,1.42857142857143,2.33333333333333,1.84615384615385,4.71428571428571
"68",68,25,1,5,NA,8.75,2,36,3,1,1,1,1,10,1.5,1,2,3.875,4,4,2.75,4.75,4.71428571428571,3.2,3,1.66666666666667,2.38461538461538,4.57142857142857
"69",69,24,2,5,NA,1,2,39,3,1,1,1,1,8.11666666666667,5.875,7,4.75,1.6875,1,2.5,1,2.25,1.28571428571429,1,4.57142857142857,4,4.30769230769231,1.42857142857143
"70",70,25,2,6,NA,1.08333333333333,1,41,3,1,4,1,1,6.85,3.875,4.25,3.5,6.3125,6.25,6,6.25,6.75,5.14285714285714,5,1.57142857142857,1.66666666666667,1.61538461538462,5.85714285714286
"71",71,34,2,7,NA,5.16666666666667,2,40,3,1,3,1,1,8.73333333333333,3.25,3.75,2.75,3.625,3,4.75,3.75,3,6.42857142857143,2.4,3,2.16666666666667,2.61538461538462,3.85714285714286
"72",72,57,2,3,NA,13.4166666666667,2,25,2,1,4,1,1,13.6833333333333,1.375,1.25,1.5,3.25,3,3.5,3.5,3,5.57142857142857,3.6,2.42857142857143,2.66666666666667,2.53846153846154,5.14285714285714
"73",73,22,2,6,NA,0.583333333333333,1,40,3,1,1,1,1,12.6333333333333,3.75,4.5,3,4.8125,4,4.5,5,5.75,6.71428571428571,3.8,2.28571428571429,1.5,1.92307692307692,3.28571428571429
"74",74,52,2,3,NA,2.16666666666667,2,30,2,1,6,1,1,12.1,3.375,2.75,4,4.8125,5.75,5.5,4.5,3.5,5.57142857142857,3.2,2.71428571428571,2.16666666666667,2.46153846153846,2.71428571428571
"75",75,48,2,7,NA,9.33333333333333,2,27.5,2,1,1,1,1,11.1666666666667,3.875,3.75,4,4.8125,4.5,5.75,4.25,4.75,6.28571428571429,4.6,2.14285714285714,2.66666666666667,2.38461538461538,5.28571428571429
"76",76,29,2,6,NA,1.75,1,35,3,3,2,1,1,10.4,4.875,5.5,4.25,5.5,6,5.75,4.75,5.5,5.71428571428571,4.8,1.57142857142857,1.66666666666667,1.61538461538462,4.42857142857143
"77",77,55,2,5,NA,28.6666666666667,2,30,4,1,4,1,1,10.9333333333333,4,4.25,3.75,4.75,5.5,4.25,4.75,4.5,5.85714285714286,3.8,1.57142857142857,1.83333333333333,1.69230769230769,4.85714285714286
"78",78,53,1,6,NA,31.75,2,40,5,1,2,1,1,7.6,2.75,3.25,2.25,5.1875,5,5,5.75,5,6,3.8,1.85714285714286,1.16666666666667,1.53846153846154,5.85714285714286
"79",79,57,2,3,NA,40.5833333333333,2,25,3,1,1,1,1,13.4333333333333,1.375,1.25,1.5,4.5,4.5,5,3.75,4.75,6.42857142857143,4.2,1.57142857142857,1.66666666666667,1.61538461538462,5
"80",80,56,1,6,NA,39.75,2,40,5,1,5,1,1,10.6333333333333,2.25,2.75,1.75,5.6875,5,5.75,5.75,6.25,6.85714285714286,4.2,1.28571428571429,1,1.15384615384615,4.85714285714286
"81",81,22,2,4,NA,4,2,39,3,1,1,1,1,9.98333333333333,1.625,1.5,1.75,5.5,6.5,6.25,4,5.25,6.85714285714286,3.8,1.42857142857143,1,1.23076923076923,7
"82",82,48,2,5,NA,2,2,20,2,1,5,1,1,16.7666666666667,3.875,4.25,3.5,5.375,4.75,6,5.75,5,5.42857142857143,3.8,2,2,2,3.57142857142857
"83",83,57,1,4,NA,32.25,2,35,5,1,3,1,1,11.7333333333333,1.25,1.5,1,5.5625,6.25,6,4.5,5.5,5.85714285714286,3.6,2.14285714285714,3.33333333333333,2.69230769230769,4
"84",84,51,2,5,NA,17.6666666666667,2,30,4,1,3,1,1,16.9333333333333,2.75,4.5,1,3.0625,3.25,4,2.5,2.5,4.85714285714286,1.6,2.14285714285714,1,1.61538461538462,2.71428571428571
"85",85,47,2,5,NA,1.58333333333333,2,20,2,1,1,1,1,10.55,3.875,3.75,4,5.8125,6.25,6,5.75,5.25,5.42857142857143,3.6,1.42857142857143,1.16666666666667,1.30769230769231,5.28571428571429
"86",86,24,2,6,NA,5.66666666666667,2,37.5,3,1,4,1,1,15.0333333333333,2,2,2,5.3125,5.25,5.5,5.5,5,6.28571428571429,3.8,2.42857142857143,2,2.23076923076923,5.14285714285714
"87",87,30,2,7,NA,7.66666666666667,2,38.5,4,1,5,1,1,10.5666666666667,1.625,1.5,1.75,5.1875,5.5,6,4.75,4.5,6.42857142857143,3.2,2,2.16666666666667,2.07692307692308,5.57142857142857
"88",88,55,2,3,NA,39.75,2,24,2,1,2,1,1,10.45,1.875,2.5,1.25,4.9375,5,4.75,4.5,5.5,6.57142857142857,3.2,2.28571428571429,2.33333333333333,2.30769230769231,5.14285714285714
"89",89,28,2,7,NA,1.66666666666667,1,38,3,1,4,1,1,9.88333333333333,5.125,5.25,5,4,4,4,3.5,4.5,3.71428571428571,2.2,3.57142857142857,2.16666666666667,2.92307692307692,4
"90",90,55,1,2,NA,25.5,2,37,5,1,1,1,1,10.1166666666667,2.625,2.75,2.5,4.25,4.25,4.25,4,4.5,5,3.8,2.71428571428571,3.5,3.07692307692308,4.42857142857143
"91",91,50,2,4,NA,0.666666666666667,2,20,2,3,1,1,1,10.0666666666667,2.875,2.75,3,6.125,6,6,6,6.5,5,4,1.85714285714286,2.16666666666667,2,5
"92",92,49,2,7,NA,30.75,2,39,4,1,4,1,1,9.7,2.125,2,2.25,3.125,3.5,3,2.75,3.25,4.85714285714286,2.6,3,1.83333333333333,2.46153846153846,4.14285714285714
"93",93,29,1,5,NA,2.66666666666667,2,56,4,1,1,1,1,9.08333333333333,1.625,1.75,1.5,4.875,4.75,4.75,4,6,5.57142857142857,4.2,1.71428571428571,2,1.84615384615385,5.85714285714286
"94",94,55,2,4,NA,9.91666666666667,2,32,2,1,1,1,1,10.85,2.875,3,2.75,5.1875,6.25,5.5,4.5,4.5,6.14285714285714,4.6,2.28571428571429,2,2.15384615384615,4.71428571428571
"95",95,30,2,7,NA,0.583333333333333,2,32,3,1,5,1,1,6.2,4.75,4.25,5.25,5.375,6,5.5,4.5,5.5,5.71428571428571,2.4,3.14285714285714,2,2.61538461538462,4.28571428571429
"96",96,59,2,6,NA,32,2,40,5,3,3,1,1,14.7,2.125,2,2.25,5.5625,6,6,5,5.25,6.42857142857143,4,2,1.83333333333333,1.92307692307692,5.14285714285714
"97",97,22,1,4,NA,0.916666666666667,2,20,2,1,5,1,1,9.76666666666667,4.75,5.25,4.25,4.5625,5.75,5,2.5,5,5.42857142857143,2.6,3.14285714285714,3.16666666666667,3.15384615384615,3.42857142857143
"98",98,32,2,6,NA,9,2,35,2,1,1,1,1,7.61666666666667,2.5,2.25,2.75,2.8125,3.25,2.75,2.75,2.5,6.42857142857143,1.8,4.42857142857143,4.5,4.46153846153846,3.71428571428571
