"","ID","Alter","Geschlecht","Bildung","Bildung_sonstig","BZG","Beschaeftigungsart","Arbeitszeitmodell","Gehalt_n","Position_im_Unternehmen","Remotarbeit","ZE01","ZE04","Time_sum_m","IS_mean","IS_K_mean","IS_E_mean","CPE_mean","CPE_C_mean","CPE_I_mean","CPE_M_mean","CPE_E_mean","PS_mean","OC_A_mean","QQ_Anand_mean","QQ_Eigene_mean","QQ_Gesamt_mean","SL_mean"
"155",155,59,2,6,NA,39.75,2,0,2,1,2,1,1,12.4166666666667,2.625,3.25,2,5.25,4.75,5.5,5.25,5.5,6.14285714285714,3.8,1.85714285714286,1.66666666666667,1.76923076923077,3.71428571428571
"156",156,56,1,8,NA,8.83333333333333,2,38.5,5,4,1,1,1,11.6333333333333,3.375,4.75,2,5.6875,5.5,6,6.25,5,5.57142857142857,4,2.14285714285714,1.83333333333333,2,4.85714285714286
"157",157,59,2,7,NA,7.58333333333333,2,17.7,1,1,1,1,1,14.6333333333333,2.875,3.25,2.5,5.75,4.5,6.25,6.25,6,6.71428571428571,4.2,1.85714285714286,1.66666666666667,1.76923076923077,6
"158",158,31,1,6,NA,4.08333333333333,2,32,3,3,1,1,1,5.85,4.875,5.5,4.25,7,7,7,7,7,6.42857142857143,3.2,2.71428571428571,2,2.38461538461538,4.42857142857143
"159",159,50,1,7,NA,6.08333333333333,2,40,5,1,4,1,1,14.6666666666667,2,2,2,5.3125,6,5.25,5,5,6.57142857142857,4,2.28571428571429,1.5,1.92307692307692,3.85714285714286
"160",160,53,2,3,NA,1.41666666666667,2,20,2,1,1,1,1,11.0333333333333,1.625,2,1.25,5.0625,5.25,5,4.75,5.25,7,4,2.14285714285714,1.5,1.84615384615385,5.28571428571429
"161",161,32,2,7,NA,1.5,2,40,3,1,3,1,1,7.38333333333333,4.75,5,4.5,2.6875,2,5.25,1.5,2,2.85714285714286,2,2.85714285714286,2.16666666666667,2.53846153846154,1
"162",162,50,2,5,NA,4,2,19.5,2,1,2,1,1,11.2333333333333,3.25,3.25,3.25,4.6875,4.25,5.25,5,4.25,5.85714285714286,3.6,2.28571428571429,2.16666666666667,2.23076923076923,5.71428571428571
"163",163,35,2,3,NA,18.6666666666667,2,39,4,1,4,1,1,13.1,2.625,2.5,2.75,4.3125,4.75,4.25,3.75,4.5,6.42857142857143,3.8,1.42857142857143,1.5,1.46153846153846,6.42857142857143
"164",164,58,2,5,NA,19.5,2,20,2,1,1,1,1,13.9166666666667,2,2.25,1.75,6.125,5.75,6.5,6.5,5.75,5.71428571428571,3.4,1.71428571428571,2,1.84615384615385,6.14285714285714
"165",165,60,1,6,NA,15.1666666666667,2,39,5,3,1,1,1,10.1833333333333,3.375,3.75,3,5.8125,6.25,5.75,6,5.25,6.42857142857143,4,2,1.5,1.76923076923077,5.14285714285714
"166",166,26,2,6,NA,1.25,1,20,2,1,6,1,1,7.21666666666667,2.5,2.75,2.25,5.375,4.5,5.25,6,5.75,6.71428571428571,3.8,2,2,2,6.42857142857143
"167",167,49,2,7,NA,15.1666666666667,2,40,5,1,3,1,1,14.3166666666667,2.5,3.25,1.75,3.4375,5,3,3.5,2.25,2,2.6,2.57142857142857,1.83333333333333,2.23076923076923,2.42857142857143
"168",168,61,2,6,NA,11.3333333333333,2,40,3,1,2,1,1,7.2,4.25,5.75,2.75,5.8125,5.75,5.5,6,6,6.14285714285714,4,2.42857142857143,2,2.23076923076923,3.57142857142857
"169",169,30,2,5,NA,12.75,2,40,3,1,1,1,1,13.25,5.625,6.25,5,4.6875,4.5,4.5,4.75,5,3.85714285714286,4,3.28571428571429,3,3.15384615384615,4.14285714285714
"170",170,55,2,3,NA,39.75,2,28,3,1,2,1,1,15.7166666666667,3.75,4.25,3.25,5.6875,4.75,4.5,6.5,7,5.85714285714286,4.4,2,2,2,5.14285714285714
"171",171,59,1,7,NA,38.75,2,39,4,1,2,1,1,10.85,1.625,2,1.25,5.9375,5.75,6.25,5.25,6.5,7,5,1.28571428571429,1.16666666666667,1.23076923076923,6.14285714285714
"172",172,28,2,6,NA,2.41666666666667,2,38.5,3,1,3,1,1,9.46666666666667,2.125,2.5,1.75,4.625,3.75,5.25,4.5,5,6.28571428571429,3,2.71428571428571,2.66666666666667,2.69230769230769,4.28571428571429
"173",173,50,2,7,NA,20,2,30,3,1,2,1,1,8,1.75,1.5,2,3.875,3.75,3.75,4,4,6,4.2,2.42857142857143,2.16666666666667,2.30769230769231,5.14285714285714
"174",174,53,1,5,NA,31.4166666666667,2,40,2,4,2,1,1,14.2,3.875,5,2.75,5.75,5,5.75,6.5,5.75,4.57142857142857,4.6,1.85714285714286,2.16666666666667,2,6.14285714285714
"175",175,47,2,3,NA,4,2,30,3,1,1,1,1,6.4,2.125,1.75,2.5,3.4375,2.75,4.5,2.75,3.75,5.71428571428571,4,3,2,2.53846153846154,2.42857142857143
"176",176,26,2,6,NA,2.16666666666667,2,40,3,2,2,1,1,6.03333333333333,3.625,5,2.25,5.3125,6.5,5.5,4.75,4.5,5.85714285714286,4.4,1.14285714285714,1.33333333333333,1.23076923076923,4.71428571428571
