"","ID","Alter","Geschlecht","Bildung","Bildung_sonstig","BZG","Beschaeftigungsart","Arbeitszeitmodell","Gehalt_n","Position_im_Unternehmen","Remotarbeit","IS_K01","IS_K02","IS_K03","IS_K04","IS_E05","IS_E06","IS_E07","IS_E08","OC_A01","OC_A02","OC_A03","OC_A04","OC_A05","CPE_C01","CPE_C02","CPE_C03","CPE_C04","CPE_I05","CPE_I06","CPE_I07","CPE_I08","CPE_M09","CPE_M10","CPE_M11","CPE_M12","CPE_E13","CPE_E14","CPE_E15","CPE_E16","PS_01","PS_02","PS_03","PS_04","PS_05","PS_06","PS_07","QQ_01","QQ_02","QQ_03","QQ_04","QQ_05","QQ_06","QQ_07","QQ_N08","QQ_N09","QQ_N10","QQ_N11","QQ_N12","QQ_N13","QQ_N14","SL_01","SL_02","SL_03","SL_04","SL_05","SL_06","SL_07","ZE01","ZE04","TIME_SUM","TIME_RSI","Time_sum_m"
"73",73,22,2,6,NA,0.583333333333333,1,40,3,0,1,5,6,4,3,3,3,4,2,3,4,4,4,4,3,3,6,4,3,2,7,6,4,5,5,6,6,6,5,6,7,7,7,7,7,7,5,3,1,4,1,1,1,5,3,1,1,2,2,2,1,1,1,3,5,1,5,7,1,1,758,0.67,12.6333333333333
"74",74,52,2,3,NA,2.16666666666667,2,30,2,0,6,3,3,3,2,3,3,5,5,3,2,3,4,4,6,5,6,6,5,6,6,5,5,5,5,3,3,3,5,3,5,7,5,5,6,6,5,2,1,4,4,2,2,4,2,2,2,3,2,2,2,3,3,2,3,2,3,3,1,1,726,0.87,12.1
"75",75,48,2,7,NA,9.33333333333333,2,27.5,2,0,1,4,3,3,5,5,2,5,4,5,5,5,4,4,5,3,6,4,6,6,6,5,3,6,4,4,5,5,6,3,6,7,6,7,6,6,6,1,1,4,2,3,2,2,3,2,2,4,2,2,4,6,3,7,3,5,6,7,1,1,670,0.74,11.1666666666667
"76",76,29,2,6,NA,1.75,1,35,3,1,2,5,7,4,6,4,4,6,3,5,5,5,5,4,5,7,6,6,7,5,4,7,4,5,5,5,5,6,5,6,5,7,6,5,4,7,6,1,1,1,1,1,3,3,4,1,2,2,1,2,2,6,3,5,3,4,7,3,1,1,624,0.93,10.4
"77",77,55,2,5,NA,28.6666666666667,2,30,4,0,4,5,5,2,5,3,4,5,3,4,4,4,4,3,6,6,6,4,5,5,3,4,4,5,5,5,5,5,4,4,6,6,5,5,7,7,5,2,1,2,2,1,1,2,2,1,2,2,2,1,3,6,4,3,5,3,6,7,1,1,656,1.09,10.9333333333333
"78",78,53,1,6,NA,31.75,2,40,5,0,2,4,3,3,3,1,2,4,2,3,4,4,4,4,5,6,4,5,5,5,6,4,6,6,5,6,5,5,5,5,6,7,6,5,6,6,6,2,1,2,2,3,1,2,2,2,1,1,1,1,1,7,5,6,5,4,7,7,1,1,456,1.21,7.6
"79",79,57,2,3,NA,40.5833333333333,2,25,3,0,1,1,1,2,1,1,2,1,2,5,4,4,4,4,5,4,4,5,6,4,6,4,3,4,4,4,4,5,5,5,7,6,7,6,6,7,6,1,1,1,2,3,2,1,1,1,2,2,1,2,2,5,4,6,5,3,6,6,1,1,806,0.62,13.4333333333333
"80",80,56,1,6,NA,39.75,2,40,5,0,5,2,5,2,2,1,2,3,1,5,4,4,4,4,5,5,5,5,7,6,4,6,6,5,6,6,6,7,6,6,7,7,7,7,7,7,6,1,1,1,2,1,1,2,2,1,1,1,1,1,1,5,5,4,2,4,7,7,1,1,638,0.41,10.6333333333333
"81",81,22,2,4,NA,4,2,39,3,0,1,1,3,1,1,1,2,3,1,4,4,4,4,3,7,7,5,7,7,4,7,7,4,3,5,4,5,4,5,7,7,7,7,7,7,7,6,1,1,2,2,2,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,1,1,599,1.03,9.98333333333333
"82",82,48,2,5,NA,2,2,20,2,0,5,4,5,4,4,3,4,4,3,4,3,4,4,4,5,5,4,5,6,6,6,6,6,6,5,6,5,4,6,5,5,7,5,4,6,5,6,2,1,2,1,3,2,3,3,3,2,2,2,1,2,3,4,3,4,3,4,4,1,1,1006,0.51,16.7666666666667
"83",83,57,1,4,NA,32.25,2,35,5,0,3,1,3,1,1,1,1,1,1,5,2,3,4,4,6,6,6,7,6,5,7,6,4,5,4,5,5,7,5,5,7,6,5,6,4,7,6,3,2,1,1,4,2,2,3,2,5,3,4,2,4,2,4,1,4,4,6,7,1,1,704,1.02,11.7333333333333
"84",84,51,2,5,NA,17.6666666666667,2,30,4,0,3,6,6,1,5,1,1,1,1,1,1,1,2,3,3,2,5,3,3,6,5,2,1,3,3,3,3,3,3,1,5,2,5,4,7,5,6,1,1,3,4,2,1,3,1,1,1,1,1,1,1,1,1,1,4,1,7,4,1,1,1016,0.45,16.9333333333333
"85",85,47,2,5,NA,1.58333333333333,2,20,2,0,1,5,4,2,4,4,4,3,5,3,5,3,3,4,6,7,6,6,6,6,6,6,6,5,6,6,6,6,5,4,6,3,6,4,6,7,6,1,1,1,3,2,1,1,2,1,1,1,1,1,2,5,6,6,5,6,4,5,1,1,633,0.89,10.55
"86",86,24,2,6,NA,5.66666666666667,2,37.5,3,0,4,2,2,2,2,2,3,2,1,4,4,4,3,4,5,6,5,5,5,6,6,5,5,6,5,6,4,5,5,6,6,7,7,5,5,7,7,2,2,2,4,2,3,2,2,2,2,1,3,1,3,6,5,4,3,6,6,6,1,1,902,0.5,15.0333333333333
"87",87,30,2,7,NA,7.66666666666667,2,38.5,4,0,5,1,1,3,1,1,3,2,1,3,2,3,4,4,5,6,5,6,6,6,6,6,3,5,5,6,4,5,5,4,6,7,7,6,6,7,6,4,1,2,2,2,2,1,4,4,1,2,2,2,2,7,5,6,4,5,5,7,1,1,634,0.99,10.5666666666667
"88",88,55,2,3,NA,39.75,2,24,2,0,2,2,5,1,2,1,1,2,1,4,3,3,2,4,5,6,5,4,5,5,6,3,5,5,4,4,5,5,6,6,6,7,6,7,7,7,6,2,1,2,3,4,2,2,1,1,2,4,1,2,4,7,5,3,5,3,6,7,1,1,627,0.91,10.45
"89",89,28,2,7,NA,1.66666666666667,1,38,3,0,4,6,5,5,5,6,4,5,5,1,2,3,2,3,3,4,4,5,4,4,5,3,4,3,3,4,4,5,4,5,5,3,2,5,3,5,3,4,2,4,5,3,4,3,3,4,1,2,2,2,2,3,5,5,2,4,5,4,1,1,593,1.1,9.88333333333333
"90",90,55,1,2,NA,25.5,2,37,5,0,1,3,3,3,2,1,3,3,3,4,4,4,3,4,5,5,4,3,3,4,6,4,3,5,4,4,5,5,5,3,5,7,6,3,5,5,4,4,2,2,2,4,3,2,4,4,4,4,4,2,3,5,3,6,4,3,5,5,1,1,607,0.98,10.1166666666667
"91",91,50,2,4,NA,0.666666666666667,2,20,2,1,1,4,4,1,2,2,4,4,2,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,7,6,7,6,6,6,4,6,3,4,6,3,1,2,2,2,2,1,3,2,2,2,2,3,2,6,4,7,4,4,6,4,1,1,604,0.89,10.0666666666667
"92",92,49,2,7,NA,30.75,2,39,4,0,4,2,2,2,2,2,2,2,3,3,2,3,2,3,3,4,4,3,2,4,4,2,3,2,3,3,3,3,3,4,6,1,7,4,6,5,5,4,2,3,3,3,3,3,2,2,1,2,2,2,2,2,4,2,5,4,6,6,1,1,582,1.04,9.7
"93",93,29,1,5,NA,2.66666666666667,2,56,4,0,1,1,1,2,3,2,1,2,1,5,4,4,4,4,5,4,5,5,4,5,6,4,5,4,3,4,6,6,6,6,6,6,5,5,5,7,5,4,1,3,1,1,1,1,2,1,2,3,1,2,3,6,4,7,7,5,5,7,1,1,545,1.26,9.08333333333333
"94",94,55,2,4,NA,9.91666666666667,2,32,2,0,1,2,4,2,4,2,3,3,3,5,5,4,5,4,6,6,6,7,6,6,6,4,4,5,4,5,4,4,5,5,7,7,6,4,6,7,6,4,2,1,2,2,3,2,2,2,1,2,2,2,3,5,5,3,6,4,4,6,1,1,651,0.93,10.85
"95",95,30,2,7,NA,0.583333333333333,2,32,3,0,5,3,6,3,5,4,6,6,5,3,2,2,2,3,7,5,7,5,5,5,7,5,4,4,5,5,5,6,5,6,3,7,6,5,5,7,7,4,2,3,4,4,3,2,3,2,2,2,1,3,2,6,5,2,3,4,7,3,1,1,372,1.4,6.2
"96",96,59,2,6,NA,32,2,40,5,1,3,2,2,2,2,2,3,2,2,4,4,4,4,4,6,6,6,6,6,6,6,6,5,5,5,5,5,6,5,5,6,6,7,6,6,7,7,2,2,2,2,2,2,2,4,2,2,2,2,1,2,5,5,6,6,3,6,5,1,1,882,0.74,14.7
"97",97,22,1,4,NA,0.916666666666667,2,20,2,0,5,6,6,3,6,5,2,5,5,4,2,3,2,2,6,6,5,6,5,5,5,5,2,2,3,3,5,5,5,5,6,6,5,5,5,6,5,4,4,2,5,2,4,1,3,2,2,2,5,4,4,5,5,4,2,2,3,3,1,1,586,1.41,9.76666666666667
"98",98,32,2,6,NA,9,2,35,2,0,1,2,2,3,2,2,3,5,1,1,2,2,2,2,3,3,5,2,3,3,3,2,3,3,2,3,2,3,3,2,6,6,7,6,7,7,6,5,4,5,5,5,4,3,4,5,5,4,5,4,4,6,2,5,2,2,4,5,1,1,457,1.18,7.61666666666667
"99",99,33,1,6,NA,9,2,40,5,0,5,1,5,1,3,1,1,1,1,5,5,5,4,4,6,6,6,7,7,5,6,6,5,4,5,5,7,6,5,6,6,7,7,7,4,7,7,1,1,1,1,1,1,1,4,3,1,1,1,1,2,5,7,7,6,5,7,7,1,1,742,0.8,12.3666666666667
"100",100,31,2,4,NA,5.08333333333333,2,31,2,0,3,4,4,1,2,3,3,2,3,3,4,5,4,3,6,7,7,7,7,7,7,7,6,7,6,7,6,6,4,6,7,7,7,7,7,7,7,2,1,1,1,3,4,1,3,2,4,3,2,2,1,6,3,7,5,1,6,7,1,1,732,0.97,12.2
"101",101,51,1,6,NA,29.0833333333333,2,39,5,1,2,1,2,2,1,1,2,2,1,5,5,5,5,4,5,6,5,6,6,6,6,6,4,6,4,6,6,6,4,4,6,7,5,4,6,7,6,1,1,1,1,1,1,2,4,1,3,2,1,1,2,6,5,7,4,4,7,7,1,1,571,0.22,9.51666666666667
"102",102,46,2,2,NA,30.3333333333333,2,20,2,0,3,4,5,3,4,4,5,6,4,4,4,4,4,4,6,6,6,6,6,5,4,6,5,4,5,5,4,6,4,4,5,6,5,4,5,3,6,3,2,2,2,3,2,2,2,3,3,3,2,2,3,5,5,5,5,4,5,6,1,1,438,1.26,7.3
"103",103,35,1,6,NA,3.41666666666667,2,35,4,0,2,6,6,3,6,2,5,6,2,3,2,2,2,3,4,5,5,5,4,5,5,4,4,4,6,4,4,4,5,4,4,3,5,4,5,6,4,3,1,3,4,5,3,3,4,3,2,2,1,2,3,4,3,6,2,2,4,7,1,1,511,1.3,8.51666666666667
"104",104,55,2,5,NA,12.6666666666667,2,25,2,0,2,3,5,2,3,1,2,2,2,4,4,4,4,4,6,4,7,6,7,6,6,6,5,6,6,5,6,5,5,5,6,7,7,4,6,7,7,2,1,2,2,3,2,2,2,1,2,2,1,2,2,5,3,4,4,4,5,5,1,1,825,0.7,13.75
"105",105,31,1,2,NA,1.5,2,39,NA,0,1,2,2,5,1,2,3,3,2,3,3,4,3,3,3,4,5,4,4,4,3,5,4,4,4,5,4,4,5,6,5,4,7,4,6,7,4,1,2,3,3,3,3,3,3,3,2,3,2,3,2,4,4,3,4,3,6,4,1,1,548,1.24,9.13333333333333
"106",106,32,1,6,NA,9.66666666666667,2,40,3,1,1,3,3,5,2,5,5,6,3,3,2,2,2,2,4,5,5,5,5,4,5,5,3,3,3,5,4,4,5,5,3,4,3,3,3,3,4,4,1,3,2,2,2,3,4,4,2,3,2,2,2,5,4,5,3,3,5,2,1,1,473,1.12,7.88333333333333
"107",107,53,2,9,"Staatsexamen jur.",6.41666666666667,2,31,3,0,6,5,6,4,6,6,6,6,4,4,3,4,3,3,5,4,3,3,4,4,6,3,3,3,3,3,3,3,3,3,7,7,6,6,5,7,7,3,1,2,2,2,2,2,3,2,4,3,4,2,2,6,1,4,3,3,6,7,1,1,707,0.91,11.7833333333333
"108",108,29,2,5,NA,12.75,2,40,4,1,1,7,7,7,7,7,7,7,7,1,5,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,4,3,3,5,1,1,1,1,1,5,1,5,3,1,3,3,5,1,3,1,1,1,1,1,1,1,1,1,371,1.56,6.18333333333333
"109",109,55,2,5,NA,39.6666666666667,2,25,2,0,1,6,6,6,3,6,5,5,3,5,4,4,3,4,5,6,4,6,5,5,6,5,6,6,5,5,4,6,5,5,6,7,6,6,5,7,5,2,1,2,2,2,4,1,1,1,4,2,1,2,2,7,5,7,6,3,6,7,1,1,694,0.81,11.5666666666667
"110",110,54,1,8,NA,24.4166666666667,2,40,4,1,2,3,5,3,5,1,2,2,2,4,4,4,4,4,6,5,6,5,6,5,5,5,5,6,5,5,5,6,5,5,6,7,6,6,3,6,6,4,1,3,2,3,2,2,2,1,2,2,1,2,3,6,5,6,5,3,6,6,1,1,676,0.84,11.2666666666667
"111",111,36,1,6,NA,7.16666666666667,2,38,4,0,4,7,7,3,6,3,5,4,5,2,2,2,3,2,3,3,4,3,4,3,2,4,2,3,4,3,4,3,4,4,4,3,6,5,6,7,6,3,2,3,4,4,1,4,2,1,3,2,2,2,2,3,2,1,1,2,5,1,1,1,691,0.92,11.5166666666667
"112",112,26,2,7,NA,0.666666666666667,2,40,3,0,1,2,3,2,4,1,2,2,2,2,4,4,4,4,6,7,7,7,6,6,6,6,5,6,5,7,5,6,7,5,6,7,7,6,5,6,7,5,2,2,2,1,2,2,2,2,2,2,2,2,2,6,5,7,7,5,6,6,1,1,371,1.63,6.18333333333333
"113",113,33,2,7,NA,3.66666666666667,2,40,5,0,6,3,4,2,6,2,1,3,4,5,4,4,4,4,5,6,6,5,5,5,5,4,5,4,5,4,6,6,6,6,6,7,2,6,7,6,6,1,1,1,3,2,1,1,3,2,2,2,2,1,2,6,5,6,6,5,6,7,1,1,373,1.72,6.21666666666667
"114",114,23,1,4,NA,0.5,1,30,2,0,3,5,2,3,1,4,2,2,1,4,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,3,1,1,2,4,1,2,4,4,3,2,1,2,3,7,6,7,6,7,7,7,1,1,487,1.32,8.11666666666667
"115",115,52,2,4,NA,4.83333333333333,2,25,2,0,1,1,3,2,2,2,5,5,1,3,4,4,4,4,5,3,3,3,4,4,4,3,3,7,4,7,3,4,4,4,6,7,7,6,5,6,6,3,1,5,2,3,3,3,4,2,3,5,4,2,4,5,4,6,6,1,7,6,1,1,773,0.78,12.8833333333333
"116",116,57,2,3,NA,10.3333333333333,2,15,1,0,1,1,1,1,1,1,3,3,1,2,2,2,2,2,3,3,3,2,4,3,4,3,1,1,3,4,1,4,3,3,3,5,3,3,3,5,3,1,1,4,2,4,2,5,2,2,2,3,4,1,2,5,1,3,3,1,3,5,1,1,491,1.2,8.18333333333333
"117",117,54,2,5,NA,1.25,2,25,2,0,1,2,4,2,2,2,2,2,2,5,5,5,5,5,7,6,7,5,6,7,7,7,7,7,6,6,6,6,6,6,6,7,7,6,6,5,7,2,1,1,1,1,1,1,1,1,2,1,2,1,2,6,6,7,6,2,7,1,1,1,883,0.51,14.7166666666667
"118",118,52,1,5,NA,23.3333333333333,2,42,4,0,1,2,2,2,1,1,1,1,1,4,3,3,3,4,5,5,6,5,5,6,7,5,6,6,6,6,3,5,5,6,3,3,3,3,3,3,4,2,1,2,2,3,3,3,4,2,2,2,1,1,4,3,4,5,7,3,6,1,1,1,711,0.87,11.85
"119",119,21,2,4,NA,3.83333333333333,2,15,1,0,1,2,2,6,1,7,2,1,1,4,1,2,2,4,2,2,4,1,5,2,6,2,1,5,5,5,2,2,2,1,6,7,5,1,3,7,3,5,2,4,1,2,2,3,2,4,4,2,1,1,2,2,3,2,2,2,6,7,1,1,526,1.35,8.76666666666667
"120",120,30,2,7,NA,2.41666666666667,2,40,3,0,5,7,7,3,7,3,4,3,3,3,2,3,3,4,4,4,3,3,4,4,5,2,4,5,4,4,5,6,3,4,6,6,6,4,2,7,4,5,2,4,4,3,4,5,4,2,2,2,4,2,2,4,3,6,6,1,5,5,1,1,592,0.9,9.86666666666667
"121",121,57,2,5,NA,4,2,40,4,0,4,7,7,1,7,1,7,2,1,2,1,2,1,2,6,7,6,6,3,3,4,3,6,7,7,6,6,6,6,7,7,6,7,6,7,7,6,4,1,2,1,3,2,2,1,3,3,2,1,1,2,2,6,1,2,1,7,2,1,1,815,0.45,13.5833333333333
"122",122,36,2,7,NA,11.3333333333333,2,30,2,0,3,2,2,2,2,2,2,5,3,4,4,4,3,4,4,5,5,5,4,4,4,5,4,4,4,5,5,4,4,2,7,7,7,6,7,7,6,2,2,3,3,2,2,4,4,4,4,2,4,4,2,1,2,1,2,1,3,7,1,1,489,1.17,8.15
"123",123,25,1,4,NA,4.16666666666667,2,40,3,0,1,5,5,2,1,1,1,1,2,4,2,4,2,4,7,6,6,2,6,7,7,6,3,6,6,7,7,3,5,2,7,6,3,3,7,7,6,5,2,4,2,2,2,1,2,2,4,2,4,1,2,7,3,7,6,3,6,5,1,1,592,1.03,9.86666666666667
"124",124,46,1,7,NA,3.75,2,0,5,1,4,2,6,1,6,1,1,1,1,5,5,5,5,5,7,7,7,6,6,6,7,7,5,6,6,7,6,6,6,6,6,7,6,6,6,6,6,1,1,1,2,1,2,5,2,1,2,2,1,1,2,1,1,1,1,1,2,4,1,1,489,1.23,8.15
"125",125,56,2,2,NA,40.6666666666667,2,28,4,0,4,2,2,1,2,1,1,1,2,4,3,5,4,4,7,7,6,7,7,7,7,7,6,7,6,7,7,7,7,7,6,7,7,6,6,6,7,1,1,2,1,2,1,1,1,1,3,1,1,1,2,7,7,7,6,6,6,7,1,1,713,0.73,11.8833333333333
"126",126,30,2,3,NA,6.83333333333333,2,30,2,0,3,3,3,5,2,5,5,6,5,4,3,4,4,4,4,5,6,6,5,5,6,5,4,5,6,6,5,6,6,6,6,7,5,5,5,6,5,4,2,2,2,2,2,3,4,2,2,2,4,2,2,6,3,4,4,4,6,6,1,1,406,1.7,6.76666666666667
"127",127,41,1,7,NA,13.4166666666667,2,40.06,5,1,3,4,6,4,6,4,3,3,4,3,4,3,4,4,4,5,4,4,4,5,5,3,5,4,5,6,5,4,5,5,6,1,5,5,5,7,6,1,2,4,3,2,2,2,3,2,2,3,2,2,3,4,5,5,5,4,6,7,1,1,630,1.14,10.5
"128",128,44,2,7,NA,18,2,30,3,0,3,3,3,5,2,5,5,5,3,4,4,4,4,3,2,3,4,3,4,4,4,3,3,4,3,4,5,4,3,5,5,6,7,4,6,1,7,4,1,3,2,2,1,3,3,3,3,2,3,1,1,3,3,3,4,3,6,7,1,1,484,1.29,8.06666666666667
"129",129,39,2,7,NA,7.75,2,30,2,0,3,1,5,1,1,1,1,1,1,3,5,4,4,4,3,5,3,2,4,5,7,7,1,2,3,5,1,6,6,6,7,7,7,5,7,7,5,5,2,5,4,2,5,5,2,1,1,1,2,2,4,5,1,5,4,4,6,6,1,1,365,1.6,6.08333333333333
"130",130,30,1,7,NA,1.33333333333333,2,35,4,0,1,5,6,4,3,2,2,3,5,2,2,2,2,3,5,5,3,6,4,6,4,6,5,3,5,6,5,5,6,5,5,7,3,5,5,7,5,4,1,2,2,1,2,4,2,2,2,2,2,1,2,4,3,5,1,4,6,4,1,1,651,1.36,10.85
"131",131,NA,2,7,NA,11,2,26,2,0,5,4,5,2,6,2,4,2,3,5,3,3,4,3,4,4,6,4,4,4,6,6,3,4,3,3,4,5,6,4,6,7,5,4,5,6,4,2,1,4,2,2,2,4,2,1,4,3,2,2,2,3,2,1,1,3,3,5,1,1,574,1.3,9.56666666666667
"132",132,35,1,3,NA,14.5,2,39,3,0,1,4,4,5,3,4,5,5,3,2,2,3,3,3,2,1,2,3,2,3,3,3,4,4,4,2,3,4,4,3,3,6,4,4,3,5,3,3,2,5,3,3,4,3,2,2,3,4,3,3,4,4,2,5,3,3,3,4,1,1,755,0.89,12.5833333333333
"133",133,33,1,6,NA,3.75,2,40,3,0,5,5,7,5,6,3,4,6,4,2,3,2,3,3,5,2,3,4,4,3,4,4,2,4,6,6,4,4,5,2,7,7,6,6,6,6,7,5,1,3,1,3,3,2,3,1,2,3,1,3,2,5,4,1,3,4,4,4,1,1,593,1.29,9.88333333333333
"134",134,44,2,7,NA,20.3333333333333,2,30,5,1,1,4,5,2,3,5,4,4,5,5,5,5,5,5,6,6,5,5,6,6,4,6,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,1,1,1,1,1,1,1,3,1,3,1,2,1,1,7,6,7,7,5,6,7,1,1,445,1.43,7.41666666666667
"135",135,41,2,7,NA,2,1,38,2,0,3,1,5,1,5,1,1,1,5,3,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,3,7,7,1,1,1,1,1,1,1,3,3,1,1,2,1,1,7,7,7,7,7,7,7,1,1,512,1.33,8.53333333333333
"136",136,56,1,2,NA,16,2,35,5,1,1,2,2,3,2,3,4,3,2,4,4,4,4,4,6,6,6,6,6,6,6,6,7,7,6,7,6,6,6,6,6,6,6,6,7,5,6,2,2,3,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,4,6,7,1,1,632,0.94,10.5333333333333
"137",137,40,2,7,NA,4.58333333333333,2,40,4,0,1,3,3,1,5,1,2,2,3,4,5,4,4,4,5,5,6,5,6,4,5,5,5,5,5,6,5,6,6,5,4,6,6,5,3,6,6,1,1,2,1,2,1,1,1,1,1,2,1,1,1,5,6,6,5,5,6,6,1,1,468,1.1,7.8
"138",138,60,2,7,NA,4.75,2,40,4,1,1,5,5,2,5,2,5,2,3,4,4,4,4,4,6,6,7,6,6,6,6,6,5,6,4,6,4,5,6,5,6,7,7,6,7,7,6,1,1,2,2,2,2,2,2,1,2,2,2,1,1,3,4,7,5,4,5,6,1,1,800,0.68,13.3333333333333
"139",139,53,2,5,NA,30,2,40,3,0,1,5,5,3,3,3,5,5,5,4,4,4,4,5,6,5,5,5,5,4,6,6,3,4,3,3,4,4,4,4,5,6,5,5,4,5,6,3,1,2,2,3,2,4,4,3,2,2,2,1,2,3,2,2,4,3,6,5,1,1,575,1.01,9.58333333333333
"140",140,55,2,3,NA,30.0833333333333,2,20,2,0,1,1,2,2,1,1,1,2,1,4,4,4,4,4,6,7,6,6,6,4,5,6,4,5,5,6,4,6,5,7,6,6,6,4,6,7,5,1,1,2,1,2,1,2,2,1,1,4,1,1,2,5,3,3,6,3,6,7,1,1,693,0.83,11.55
"141",141,28,2,7,NA,1.25,2,40,4,0,6,1,1,1,1,1,5,3,1,4,4,5,5,5,7,7,7,7,7,7,6,7,7,6,6,7,7,7,7,6,7,7,7,6,6,7,7,4,1,1,2,2,2,2,1,3,3,1,2,1,2,4,5,4,5,4,7,7,1,1,354,1.74,5.9
"142",142,NA,2,7,NA,7,2,40,NA,0,3,3,7,7,7,3,7,7,3,3,1,1,1,3,3,4,3,4,4,4,5,4,2,2,3,6,6,4,2,4,6,3,5,6,1,7,3,1,1,5,3,3,1,4,3,1,4,3,2,1,2,4,1,1,1,1,6,3,1,1,627,0.99,10.45
"143",143,47,2,7,NA,1.41666666666667,2,40,4,1,2,5,6,2,2,3,2,2,2,4,4,4,4,4,6,6,7,5,6,6,4,5,5,6,5,5,6,6,6,7,6,7,7,6,7,7,6,4,1,2,2,2,2,2,2,1,1,2,1,1,2,5,7,7,6,3,6,7,1,1,476,1.28,7.93333333333333
"144",144,30,2,4,NA,6.83333333333333,2,40,4,1,1,3,5,4,5,5,4,4,2,5,4,3,3,3,5,6,4,6,4,5,5,4,6,5,6,6,6,4,6,6,7,6,5,6,6,7,6,3,2,2,1,2,2,2,3,3,2,2,1,2,1,5,4,6,4,3,7,5,1,1,340,1.88,5.66666666666667
"145",145,31,2,6,NA,1.83333333333333,2,40,3,0,1,2,3,2,2,2,1,2,1,5,4,4,4,4,4,4,5,4,4,5,3,3,4,5,5,4,3,5,4,4,6,7,5,6,3,6,6,3,1,2,2,2,1,2,2,1,1,1,1,1,1,5,4,4,4,6,6,7,1,1,575,0.98,9.58333333333333
"146",146,26,2,6,NA,1.16666666666667,1,36,3,0,4,3,2,1,2,1,1,1,1,5,5,5,5,5,6,6,7,6,6,6,4,6,6,6,6,6,7,6,7,6,6,7,6,6,7,6,7,4,1,2,1,1,2,3,3,2,1,1,2,1,1,5,7,7,4,4,7,5,1,1,370,1.74,6.16666666666667
"147",147,47,2,6,NA,1,2,30,3,0,1,6,6,3,6,6,5,5,3,3,1,2,1,3,5,5,5,3,6,3,5,4,3,5,6,6,5,3,3,5,3,3,3,2,3,1,2,2,2,2,1,4,4,5,4,4,5,4,4,4,5,1,1,2,6,1,5,2,1,1,371,1.53,6.18333333333333
"148",148,62,2,7,NA,15.6666666666667,2,20,3,1,1,6,6,2,5,2,2,3,5,3,3,3,3,5,5,6,6,5,6,4,6,4,6,6,5,6,5,6,6,6,5,1,5,4,6,6,7,1,1,3,1,3,1,4,1,1,2,1,1,1,1,2,4,2,2,4,5,4,1,1,750,0.83,12.5
"149",149,50,2,7,NA,12,2,20,2,0,1,5,5,4,5,4,4,4,3,4,4,4,4,3,4,4,5,6,4,5,6,6,4,5,4,6,5,4,4,4,5,6,4,5,4,2,4,2,2,3,2,3,2,4,3,2,3,3,2,2,3,3,3,4,4,4,5,5,1,1,745,0.72,12.4166666666667
"150",150,57,2,2,NA,9.08333333333333,2,29,2,0,1,6,6,3,5,1,1,1,1,3,1,3,3,3,4,3,3,3,3,3,3,3,3,4,6,4,3,3,5,5,3,6,4,3,1,2,3,2,1,5,4,1,1,5,4,2,1,2,1,2,3,1,1,1,2,1,2,1,1,1,781,0.63,13.0166666666667
"151",151,53,2,3,NA,30,2,22,2,0,4,2,2,4,2,1,4,4,1,3,3,3,3,3,4,4,5,4,4,5,4,5,4,4,4,5,4,5,5,4,6,5,4,5,4,5,6,3,1,3,2,1,1,3,1,1,2,1,2,2,2,4,2,1,4,4,5,4,1,1,544,1.14,9.06666666666667
"152",152,49,2,5,NA,9.58333333333333,2,19.5,2,0,6,3,3,1,2,1,1,1,1,5,5,5,5,5,6,6,6,6,7,7,7,7,5,7,6,6,6,6,7,6,7,7,7,4,7,7,7,1,1,2,1,2,2,2,3,1,2,5,1,1,1,5,5,6,6,5,6,7,1,1,526,1.17,8.76666666666667
"153",153,24,2,6,NA,0.75,1,20,2,0,2,2,4,1,1,2,2,1,1,3,3,3,3,3,6,7,7,6,6,6,6,6,5,6,6,6,6,6,6,6,6,7,7,6,6,7,6,2,1,2,2,1,3,2,3,2,2,1,4,2,3,6,5,5,3,5,6,7,1,1,553,1.06,9.21666666666667
"154",154,48,2,4,NA,25.0833333333333,2,39,3,1,1,7,7,2,7,6,5,1,7,5,5,5,5,5,6,5,7,6,6,6,6,6,7,6,7,6,7,7,6,6,3,4,3,3,1,3,6,4,5,4,3,1,5,1,5,5,5,2,4,5,5,6,7,7,7,6,7,5,1,1,464,1.19,7.73333333333333
"155",155,59,2,6,NA,39.75,2,0,2,0,2,2,5,1,5,1,3,3,1,5,3,4,4,3,4,5,5,5,6,5,6,5,5,6,5,5,5,5,6,6,6,7,6,5,6,7,6,2,2,2,2,1,2,2,3,2,2,2,1,1,2,5,4,3,4,2,5,3,1,1,745,0.71,12.4166666666667
